Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
41886,1119934,2364973,9203543,18297769,31900894,41014991,50238373,59311165,68554556,77811932,
42065,1114245,6763609,13570614,18304985,27492178,41016436,50217117,59320594,72966419,77727799,
42007,5509332,2397799,9223745,22730804,31901453,36561245,50208045,59292921,68630776,82088641,
41957,1133254,6779504,9211104,18295766,27528829,41015500,50200535,59275201,68568653,77733093,
42047,1119393,2399984,9187714,18327371,31939885,40990951,45798886,54897849,68618484,77731179,
41796,5502507,6750283,9192973,22695032,27491548,36603588,50231842,59299597,68564542,77778397,
42017,1108104,6785132,9199816,18285898,31907537,41002114,50200071,59294025,68602233,82112023,
41859,1126751,2377126,13566354,18301198,27508746,36588730,50230345,59279581,68661333,77724672,
41938,1106588,6771785,9222365,22717696,31933068,40956789,45797764,59306734,68617246,77750876,
42014,5481391,2392655,9194994,18295146,27489324,41008959,50211396,59283508,68568895,77748809,
42043,1109490,6769972,9229998,18336527,31919038,36626363,50252707,59338197,72967972,82131522,
41968,1119759,2389880,9192816,22708292,27492988,40991034,50202991,59296210,68626796,77756214,
41839,1094860,6770563,9186166,18279658,31959217,36573355,50247400,59288576,68572693,77767398,
42045,5503297,6762252,13570738,18292350,27491566,40999283,45865558,59347254,68632139,77719179,
41952,1126430,2420015,9226051,18339858,31925260,40972152,50250213,59318307,68586763,82128276,
41984,1120474,6772971,9185259,22679579,27555499,36615439,50189537,59319440,68587490,77796683,
42015,5483386,2393810,9185674,18299565,31960609,40976580,50224725,59336878,68643983,77730572,
42027,1157126,6776695,9191953,18316758,27518354,36561837,45813669,54886967,68596688,77713685,
41996,1152142,6775163,9197514,22685617,31914760,41008887,50206252,59317794,68611330,82148449,
41991,1111473,2388372,13604714,18267599,27502288,40991482,50196497,59267523,72973281,77767820,
42059,5487634,6770608,9215472,18345008,27530070,36589456,50210979,59348300,68569575,77738333,
41882,1149309,2375641,9189689,22684170,31866912,41000829,50210007,59272378,68627308,77750191,
42046,1122105,6787345,9218858,18302886,27491683,40961088,45872056,59356224,68561558,82136911,
42025,1091083,2384754,9187074,18298188,31937710,36597080,50234293,59295385,68587536,77761345,
42073,5482982,6766017,9201563,22707194,27543048,41007429,50246605,59357653,68563492,77748217,
42052,1146890,6771817,13578106,18262908,31897341,36572350,50151776,59251795,68571804,77697218,
41975,1114899,2359759,9200830,18311158,27508168,40968942,50239606,59368263,68617755,82119813,
41837,5471774,6753550,9182957,18310083,31943446,41003220,45841384,59293346,68562610,77794375,
42070,1111672,2399683,9187105,22699379,27538236,36586556,50224390,59359534,68565991,77745579,
41880,1159271,6779593,9185734,18295005,31901610,40973573,50235307,59332700,72941740,82118451,
42071,1113716,2428402,9202573,18305793,27485756,36595141,50200133,54929632,68581469,77765737,
3752378,5479592,6743024,13623361,22695308,31965087,40954767,45851178,59297087,68581777,77779732,
42295,1091537,6757609,9209697,18300564,27496863,40959696,50202657,59343589,68609412,77757596,
44331,1152023,2380902,9175216,18306300,31932475,36619586,50224193,59285448,68599393,82151495,
42355,1098996,6772412,9211221,22707164,27489362,40966736,50260131,59320033,68566769,77765264,
41930,5498537,2391692,9181192,18305934,31936830,36550282,50216266,59289849,68597136,77751000,
42235,1107427,6768912,9195544,18297520,27515871,40992792,45882648,59362329,68554881,77776973,
42313,1162530,2392252,13599069,22698985,31920886,40987387,50176878,59253176,68579844,82144861,
42060,1102942,6805311,9198607,18335985,27484092,36594245,50210561,59326450,73007790,77789690,
42164,5496244,6774410,9176320,18283603,31929110,41015144,50229248,59301880,68513553,77813611,
42517,1123949,2392896,9190132,18308640,27478346,36558200,50230167,59356663,68614313,77710234,
42273,1146648,6778584,9186341,22701806,27509500,41011819,45810545,59287256,68547724,82129015,
41945,5493155,2391713,9194553,18276845,31893582,41011407,50176481,59378697,68568455,77791461,
43785,1087986,6766381,13634512,18309605,27536916,36586498,50254577,54882219,68624045,77749414,
46254,1123151,6771761,9207141,22730009,31901532,40999598,50189258,59309031,68578450,77759494,
43512,1134666,2394456,9182557,18272376,27499821,40998631,45873136,59294858,68642310,82163538,
46349,5470024,6765862,9215358,18305192,31894983,36607921,50205970,59333341,68557925,77756964,
43705,1102526,2375980,9185849,22700381,27557626,41007561,50209605,59271900,68606151,77693538,
43157,1120693,6780817,9198710,18298077,31906608,36596813,50208285,59329791,72986589,82124533,
42232,1110705,2389453,13589273,18283192,27478155,40954302,50201846,59288393,68551126,77734586,
42347,5489769,6766461,9202141,18347673,31909237,41015010,45839191,59320377,68651546,77755787,
42003,1130758,6772541,9184671,22675551,27509682,36615925,50215660,59276092,68588026,77738158,
108074,1124340,2374225,9191857,18296453,31915565,40975081,50213421,59301923,68623677,82102817,
43108,5509560,6764674,9188382,18314579,27495216,36584893,50208375,59266209,68608006,77682792,
42074,1120842,2431412,9187904,22723805,31922144,41013948,45796624,59342792,68608326,77819776,
42020,1133529,6782717,9215629,18273045,27530065,40973194,50240263,54867482,68617693,77775941,
42034,1109131,2382356,13596721,18356563,31914122,36626488,50196328,59299706,68565817,82063999,
42509,5491537,6751310,9193844,22702549,27484372,40979033,50243924,59269741,72993614,77766996,
41958,1108403,6764782,9240657,18277476,27502861,36553341,50197877,59309014,68532512,77726674,
42046,1121233,2393564,9192186,18313750,31904652,41003021,45822108,59286135,68666053,77718473,
41761,1095191,6777925,9188792,22699320,27502335,40979952,50237807,59313582,68586215,82143421,
42337,5493562,2402381,9192435,18276339,31902740,36602405,50173074,59291295,68573288,77781251,
41878,1130876,6803495,13588549,18313804,27501447,40996186,50243744,59300926,68593030,77714193,
41931,1115104,6785399,9195253,18313207,31936423,40950190,45794834,59293229,68528105,77744555,
41844,5485790,2377468,9199661,22681758,27493410,36586896,50243906,59329221,68635532,82174240,
42203,1165048,6755922,9190562,18305598,31900599,41001186,50158973,59316395,68617005,77748600,
41810,1120359,2388346,9229785,18314257,27544831,36578727,50209534,59316908,68515798,77792391,
42124,1109790,6777553,9188643,22729449,31925738,40970279,50232529,54887509,72969187,77713546,
41903,5494465,2389823,13587610,18311151,27486651,40999444,45849308,59313146,68527325,82155576,
42210,1146945,6753799,9199214,18316603,31915750,36588918,50216117,59273241,68629482,77752438,
41909,1154307,6747892,9234904,22696086,27501792,40973236,50205426,59319899,68571148,77785115,
42026,1092040,2383808,9197373,18299218,31941919,36584830,50194728,59294434,68581927,77740841,
42012,5480988,6772734,9196085,18299630,27495802,40947729,45826833,59290094,68595335,82114130,
41953,1155281,2382366,9198973,22730360,31929249,40972224,50231950,59332035,68527544,77798192,
41852,1117893,6774110,13587868,18325521,27546943,36623726,50219667,59335655,68647322,77698587,
42099,5468037,2385369,9214469,18289942,31954592,40973171,50198861,59311158,68564714,82183134,
41916,1107603,6770059,9190817,18320519,27491206,36555536,50183220,59340705,68547810,77798648,
42117,1159194,6777761,9190635,22694502,31901733,40991998,45841705,59339387,72943728,77748858,
41860,1110401,2384154,9199180,18296071,27496039,40964278,50244264,59298481,68587938,77788463,
42127,5480278,6803250,9226700,18341253,27533834,36612947,50245479,59349699,68638089,82128405,
41874,1091960,2399820,13581554,22763036,31872407,41029403,50165484,54881634,68595107,77769270,
42075,1153814,6776479,9220039,18274398,27489177,36565311,50274873,59322067,68610341,77797010,
42006,1099952,2377085,9231763,18321116,31927367,40984905,45811766,59280737,68558274,77750170,
42104,5473483,6764873,9203077,22706431,27541809,40976695,50234474,59323679,68600797,82147826,
41929,1096135,6774090,9201877,18259550,31893632,36644008,50240634,59256231,68630931,77766953,
41968,1148128,2387921,9199290,18344657,27496647,40969272,50213757,59290382,68545156,77773492,
41924,1099827,6812761,13579864,22699495,31913293,40977660,45823845,59346621,73014511,77700871,
